code,name
T-LX,国巨
T-MJ,致茂
T-MP,精诚
T-MQ,硅格
T-NA,稳懋
T-NB,璟德
T-NE,欣铨
T-NL,世界
T-NV,元太
T-OQ,桦汉
T-OV,台耀
T-OW,环球晶
T-OX,精测（大）
T-OZ,日月光投资控股
T-PA,原相科技
T-PG,台湾高铁
T-PH,祥硕科技
T-PL,合晶科技
MTX,小型台指
TE,电子期货
T-TF,金融期货
TX,台股期货
S50,SET50指数
RSS3_S,日胶S
RSS3,日胶
JRV,20号标准胶
JAU,黄金
JCO,迪拜原油
JRV_S,20号标准胶S
JPL,标准白金
OVS2_C,VSTOXX期权看涨
OVS2_P,VSTOXX期权看跌
FDXM_S,迷你德指DAXS
FGBX,德国长期债券
FSXE,微型道琼欧盟50
FDXS,微型德指DAX
FSEG,STOXX欧洲600ESG-X指数
FGBS,德债2年
FBTP_S,意大利国债S
FDXM,迷你德指DAX
FVS,VSTOXX指数
FXXP,欧洲STOXX600
FBTP,意大利国债
FOAT,法国长债
FBON,西班牙国债
FESB,STOXX银行
FSTB,STOXX600银行
FDAX_S,德指DAXS
FESX,道琼欧盟50
FDAX,德指DAX
FGBM,德债5年
FGBL,德债10年
FGBM_S,德债5年S
FGBL_S,德债10年S
FESX_S,道琼欧盟50S
FBTS,短期欧元BTP
FSTE,STOXX欧洲600石油和天然气
ZZ-TA,精对苯二甲酸(PTA)
